"","Key","Bioregion","DateTime","Longitude","Latitude","Year","Month","Day","Time","DFO.Region","Station","Project","Twilight","Tow.Depth","Bottom.Depth","Volume.Filtered.m3","Tow.Ratio","Net.Type","Net.Mouth","Mesh.Size","Species.Richness","Diversity.Shannon","Diversity.Simpson","Diversity.Evenness","DayOfYear","Temp.net","Sali.net","Dens.net","MLD","Stratification","Oxyg.surf","Nitr.surf","Phos.surf","Sili.surf","Chla","Chla.micro","Chla.nano","Chla.pico","PAR","ZEU","POC","PIC","NPGO","PDO","ENSO","NPI"
"11","HAK201399000901","Nearshore",2013-05-08 14:23:00,-128.09,51.655,2013,5,8,0.6,"BC Inlets","PRUTH","Calvert Island","Daylight",75,75,13.98,1,"Bongo VNH",0.5,250,20,1.85753035320621,0.779984468045334,0.620058864940734,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99491339921951,2.02846851740233,0.468657473507516,0.497787408309669,37.4816818237305,NA,NA,NA,0.85171232,0.08,27.53,1015.92
"12","HAK201399001001","Nearshore",2013-05-18 15:51:00,-128.09,51.655,2013,5,18,0.66042,"BC Inlets","PRUTH","Calvert Island","Daylight",70,75,13.42,0.933333333333333,"Bongo VNH",0.5,250,18,1.85781654625931,0.815668327968454,0.642760413494896,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99491339921951,2.02846851740233,0.468657473507516,0.497787408309669,37.4816818237305,NA,NA,NA,0.85171232,0.08,27.53,1015.92
"13","HAK201399001101","Nearshore",2013-05-29 10:59:00,-128.09,51.655,2013,5,29,0.45833,"BC Inlets","PRUTH","Calvert Island","Daylight",71,75,11.85,0.946666666666667,"Bongo VNH",0.5,250,19,2.01999525560965,0.821359490088247,0.686037397922746,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99491339921951,2.02846851740233,0.468657473507516,0.497787408309669,37.4816818237305,NA,NA,NA,0.85171232,0.08,27.53,1015.92
"14","HAK201399001201","Nearshore",2013-06-08 11:01:00,-128.09,51.655,2013,6,8,0.45972,"BC Inlets","PRUTH","Calvert Island","Daylight",72,75,11.43,0.96,"Bongo VNH",0.5,250,26,1.94230579769601,0.801773453339823,0.596147405403616,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01536019643148,2.87712370492036,0.593563067075742,0.544673424435375,36.2618827819824,NA,NA,NA,0.72592328,-0.78,27.3,1015.75
"15","HAK201399001301","Nearshore",2013-06-19 11:06:00,-128.09,51.655,2013,6,19,0.46319,"BC Inlets","PRUTH","Calvert Island","Daylight",70,75,11.71,0.933333333333333,"Bongo VNH",0.5,250,34,2.29300309234215,0.86563841273118,0.650246359195431,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01536019643148,2.87712370492036,0.593563067075742,0.544673424435375,36.2618827819824,NA,NA,NA,0.72592328,-0.78,27.3,1015.75
"16","HAK201399001401","Nearshore",2013-06-29 13:29:00,-128.09,51.655,2013,6,29,0.56181,"BC Inlets","PRUTH","Calvert Island","Daylight",70,75,9.31,0.933333333333333,"Bongo VNH",0.5,250,28,1.98541900447252,0.811058260613593,0.595827476497871,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01536019643148,2.87712370492036,0.593563067075742,0.544673424435375,36.2618827819824,NA,NA,NA,0.72592328,-0.78,27.3,1015.75
"17","HAK201399001501","Nearshore",2013-07-10 11:10:00,-128.09,51.655,2013,7,10,0.46528,"BC Inlets","PRUTH","Calvert Island","Daylight",70,75,11.68,0.933333333333333,"Bongo VNH",0.5,250,25,2.14074692376947,0.834737168047527,0.665060424894497,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814561188220978,0.343665719713691,0.245422015864747,0.225473452642539,48.0792922973633,NA,651.39990234375,NA,0.45082111,-1.25,26.91,1018.26
"18","HAK201399001601","Nearshore",2013-07-19 11:33:00,-128.09,51.655,2013,7,19,0.48125,"BC Inlets","PRUTH","Calvert Island","Daylight",72,75,12.02,0.96,"Bongo VNH",0.5,250,35,2.17597590048879,0.846329316298735,0.612028938617399,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814561188220978,0.343665719713691,0.245422015864747,0.225473452642539,48.0792922973633,NA,651.39990234375,NA,0.45082111,-1.25,26.91,1018.26
"19","HAK201399001801","DeepFjord",2013-08-10 13:09:00,-128.09,51.655,2013,8,10,0.54861,"BC Inlets","PRUTH","Calvert Island","Daylight",70,75,11.54,0.933333333333333,"Bongo VNH",0.5,250,27,1.4034889822567,0.626745105978134,0.425836908596208,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6630635112524,1.7560742811112,0.433375642599267,0.473613587541936,27.9120407104492,NA,NA,NA,0.56139213,-1.04,26.47,1013.93
"20","HAK201399001901","Nearshore",2013-08-22 13:29:00,-128.09,51.655,2013,8,22,0.56181,"BC Inlets","PRUTH","Calvert Island","Daylight",70,75,19.68,0.933333333333333,"Bongo VNH",0.5,250,27,1.82329653452952,0.762268539537537,0.55321200916718,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6630635112524,1.7560742811112,0.433375642599267,0.473613587541936,27.9120407104492,NA,NA,NA,0.56139213,-1.04,26.47,1013.93
"21","HAK201399002001","Nearshore",2013-09-25 13:07:00,-128.09,51.655,2013,9,25,0.54722,"BC Inlets","PRUTH","Calvert Island","Daylight",75,75,13.9,1,"Bongo VNH",0.5,250,35,1.90044719797592,0.724044106740003,0.534531968490247,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51342992782593,2.45805629538944,0.528929804025246,0.526443828411244,25.1581916809082,NA,NA,NA,0.38985903,-0.48,26.54,1013.17
"22","HAK201399002101","Nearshore",2013-10-17 14:19:00,-128.09,51.655,2013,10,17,0.59722,"BC Inlets","PRUTH","Calvert Island","Daylight",74,75,18.93,0.986666666666667,"Bongo VNH",0.5,250,32,2.15781993676537,0.820573729134136,0.622615224380547,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86702577273051,1.92321383908949,0.454770761135669,0.489041172505349,12.5640506744385,NA,NA,NA,-0.14750892,-0.87,26.52,1012.5
"23","HAK201399002401","Nearshore",2013-08-31 15:49:00,-128.09,51.655,2013,8,31,0.65972,"BC Inlets","PRUTH","Calvert Island","Daylight",70,75,15.33,0.933333333333333,"Bongo VNH",0.5,250,30,2.31079609295422,0.854883182893247,0.679406642323398,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6630635112524,1.7560742811112,0.433375642599267,0.473613587541936,27.9120407104492,NA,NA,NA,0.56139213,-1.04,26.47,1013.93
"24","HAK201399002501","Nearshore",2013-09-11 14:06:00,-128.09,51.655,2013,9,11,0.58819,"BC Inlets","PRUTH","Calvert Island","Daylight",70,75,19.18,0.933333333333333,"Bongo VNH",0.5,250,31,2.01632507525123,0.797824324951931,0.587167323342877,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51342992782593,2.45805629538944,0.528929804025246,0.526443828411244,25.1581916809082,NA,NA,NA,0.38985903,-0.48,26.54,1013.17
"25","HAK201497000301","DeepShelf",2014-04-02 09:27:00,-128.24,51.705,2014,4,2,0.39444,"Hecate Strait","QCS01","QC Strait","Daylight",135,135,37.47,1,"Bongo VNH",0.5,250,25,0.908312558557109,0.333975818838913,0.282183162065377,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4660382270813,0.806577665406564,0.319640481820025,0.33982007985471,28.7350997924805,35.2447776794434,269.938262939453,1.41282516779029e-05,-0.6174035,1.13,27.9,1010.81
"26","HAK201497000501","Nearshore",2014-05-10 13:50:00,-128.24,51.705,2014,5,10,0.57639,"Hecate Strait","QCS01","QC Strait","Daylight",140,140,29,1,"Bongo VNH",0.5,250,26,1.73932906899952,0.726243696385569,0.533848229695412,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.10396289825439,2.11846248663185,0.480797670658032,0.504702740964516,42.0192451477051,23.5500736236572,2381.25830078125,1.63958102348261e-05,0.22783033,1.8,28.25,1017.44
"27","HAK201497000601","Nearshore",2014-05-17 09:31:00,-128.24,51.705,2014,5,17,0.39653,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,31.8,1,"Bongo VNH",0.5,250,34,1.52344232002002,0.612696242545019,0.432015475838463,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.10396289825439,2.11846248663185,0.480797670658032,0.504702740964516,42.0192451477051,23.5500736236572,2381.25830078125,1.63958102348261e-05,0.22783033,1.8,28.25,1017.44
"28","HAK201497000701","Nearshore",2014-05-31 09:33:00,-128.24,51.705,2014,5,31,0.39792,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,22.91,1,"Bongo VNH",0.5,250,31,2.0257716742128,0.800025115462905,0.589918236028057,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.10396289825439,2.11846248663185,0.480797670658032,0.504702740964516,42.0192451477051,23.5500736236572,2381.25830078125,1.63958102348261e-05,0.22783033,1.8,28.25,1017.44
"29","HAK201497000801","Nearshore",2014-06-07 09:29:00,-128.24,51.705,2014,6,7,0.39583,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,32.47,1,"Bongo VNH",0.5,250,21,1.44677418316391,0.632546743237129,0.475205623462493,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22713255882263,0.629136869922564,0.295819807533818,0.30217588136625,45.9147453308105,23.9855937957764,1425.75952148438,0.000234005157835782,-0.41683559,0.82,27.96,1016.41
"30","HAK201497001001","DeepFjord",2014-06-29 10:12:00,-127.9,51.639,2014,6,29,0.425,"BC Inlets","FZH01","Fitz Hugh Sound","Daylight",287,290,77.5,0.989655172413793,"Bongo VNH",0.5,250,45,2.48442968961279,0.851059048064217,0.652652998864287,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16874480247498,3.84740032642114,0.765429997800459,0.555914478253376,41.5278205871582,NA,556.469665527344,0.000617997779045254,-0.41683559,0.82,27.96,1016.41
"31","HAK201497001101","Nearshore",2014-06-30 11:51:00,-128.24,51.705,2014,6,30,0.49444,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,26.48,1,"Bongo VNH",0.5,250,32,1.74066204319497,0.708038062295179,0.502248899516206,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22713255882263,0.629136869922564,0.295819807533818,0.30217588136625,45.9147453308105,23.9855937957764,1425.75952148438,0.000234005157835782,-0.41683559,0.82,27.96,1016.41
"32","HAK201497001201","DeepFjord",2014-07-09 13:14:00,-127.56,51.521,2014,7,9,0.55208,"BC Inlets","DFO2","Rivers","Daylight",320,333,58.02,0.960960960960961,"Bongo VNH",0.5,250,49,2.54151758877334,0.868609797928921,0.653040837987092,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.336540222168,8.23637580871582,NA,NA,-0.13326054,0.7,27.23,1016.73
"33","HAK201497001301","DeepFjord",2014-07-11 12:49:00,-127.9,51.639,2014,7,11,0.53403,"BC Inlets","FZH01","Fitz Hugh Sound","Daylight",290,290,57.3,1,"Bongo VNH",0.5,250,40,2.55451079882723,0.86867993808157,0.692489638277112,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05792252222697,2.91277057852749,0.599330995344262,0.545820948355216,41.0143280029297,NA,1270.96740722656,NA,-0.13326054,0.7,27.23,1016.73
"34","HAK201497001401","DeepShelf",2014-07-14 10:50:00,-128.24,51.705,2014,7,14,0.45208,"Hecate Strait","QCS01","QC Strait","Daylight",130,130,26.97,1,"Bongo VNH",0.5,250,36,1.86621260769131,0.759531293203459,0.520776543878218,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41943323612213,0.771461203672014,0.315152408276097,0.33281962417402,40.3623390197754,31.2559394836426,213.044692993164,0.000141011842060834,-0.13326054,0.7,27.23,1016.73
"35","HAK201497001501","DeepFjord",2014-07-16 12:00:00,-127.56,51.521,2014,7,16,0.5,"BC Inlets","DFO2","Rivers","Daylight",325,333,36.28,0.975975975975976,"Bongo VNH",0.5,250,44,2.24893113432398,0.815991433576571,0.594296626724641,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.336540222168,8.23637580871582,NA,NA,-0.13326054,0.7,27.23,1016.73
"36","HAK201497001601","DeepFjord",2014-07-20 10:21:00,-127.9,51.639,2014,7,20,0.43194,"BC Inlets","FZH01","Fitz Hugh Sound","Daylight",290,290,56.77,1,"Bongo VNH",0.5,250,52,2.38736731459908,0.829608783721366,0.604206544732247,201,9.29871703569065,30.0796492762536,1023.1160810009,10,0.00179866405799044,235.284520473226,0.880426395848478,0.501638296728094,11.0872298154229,4.05792252222697,2.91277057852749,0.599330995344262,0.545820948355216,41.0143280029297,NA,1270.96740722656,NA,-0.13326054,0.7,27.23,1016.73
"37","HAK201497001701","DeepFjord",2014-07-30 14:35:00,-127.56,51.521,2014,7,30,0.60833,"BC Inlets","DFO2","Rivers","Daylight",320,333,68.11,0.960960960960961,"Bongo VNH",0.5,250,39,2.53338962505971,0.861401768910444,0.691510030337855,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.336540222168,8.23637580871582,NA,NA,-0.13326054,0.7,27.23,1016.73
"38","HAK201497001801","DeepFjord",2014-08-01 12:00:00,-127.9,51.639,2014,8,1,0.5,"BC Inlets","FZH01","Fitz Hugh Sound","Daylight",285,290,77.14,0.982758620689655,"Bongo VNH",0.5,250,40,2.36987763555187,0.813621069985875,0.642438351545729,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31716557911464,5.66817818626194,1.16526199009736,0.483725402755339,37.5924301147461,NA,888.27587890625,0.000304992194287479,-0.54494684,0.67,26.82,1014.39
"39","HAK201497001901","Nearshore",2014-08-02 10:03:00,-128.24,51.705,2014,8,2,0.41944,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,24.66,1,"Bongo VNH",0.5,250,29,1.99209327659941,0.797162615689577,0.59160031585565,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80139577388763,1.06479031849782,0.350855958965715,0.385749496424096,35.1955375671387,28.8567218780518,284.070892333984,0.00173916225321591,-0.54494684,0.67,26.82,1014.39
"40","HAK201497002001","DeepFjord",2014-08-07 12:18:00,-127.56,51.521,2014,8,7,0.51319,"BC Inlets","DFO2","Rivers","Daylight",325,333,49.38,0.975975975975976,"Bongo VNH",0.5,250,38,2.34155475618516,0.851194714166311,0.643711146174277,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.33019622166951,5.67925088129199,1.16797537642015,0.48296996395737,39.533618927002,12.0353593826294,NA,NA,-0.54494684,0.67,26.82,1014.39
"41","HAK201497002101","DeepShelf",2014-08-10 09:31:00,-128.24,51.705,2014,8,10,0.39722,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,37.25,1,"Bongo VNH",0.5,250,33,2.20671154675302,0.829249611592052,0.631118768645675,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80139577388763,1.06479031849782,0.350855958965715,0.385749496424096,35.1955375671387,28.8567218780518,284.070892333984,0.00173916225321591,-0.54494684,0.67,26.82,1014.39
"42","HAK201497002201","DeepFjord",2014-08-16 10:57:00,-127.9,51.639,2014,8,16,0.45694,"BC Inlets","FZH01","Fitz Hugh Sound","Daylight",290,290,49.38,1,"Bongo VNH",0.5,250,40,1.99384976822187,0.704019900987126,0.540502825593358,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31716557911464,5.66817818626194,1.16526199009736,0.483725402755339,37.5924301147461,NA,888.27587890625,0.000304992194287479,-0.54494684,0.67,26.82,1014.39
"43","HAK201497002301","DeepFjord",2014-08-20 12:13:00,-127.56,51.521,2014,8,20,0.50972,"BC Inlets","DFO2","Rivers","Daylight",322,333,93.51,0.966966966966967,"Bongo VNH",0.5,250,41,2.68476586909398,0.893349441003321,0.7229604867953,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.33019622166951,5.67925088129199,1.16797537642015,0.48296996395737,39.533618927002,12.0353593826294,NA,NA,-0.54494684,0.67,26.82,1014.39
"44","HAK201497002401","DeepFjord",2014-08-22 08:48:00,-127.9,51.639,2014,8,22,0.36667,"BC Inlets","FZH01","Fitz Hugh Sound","Daylight",285,290,48.91,0.982758620689655,"Bongo VNH",0.5,250,41,2.12865604872502,0.757875097158359,0.573209839607111,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31716557911464,5.66817818626194,1.16526199009736,0.483725402755339,37.5924301147461,NA,888.27587890625,0.000304992194287479,-0.54494684,0.67,26.82,1014.39
"45","HAK201497002501","Nearshore",2014-08-24 09:56:00,-128.24,51.705,2014,8,24,0.41458,"Hecate Strait","QCS01","QC Strait","Daylight",120,125,28.04,0.96,"Bongo VNH",0.5,250,48,1.8343847548722,0.742876835477583,0.473854173343995,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80139577388763,1.06479031849782,0.350855958965715,0.385749496424096,35.1955375671387,28.8567218780518,284.070892333984,0.00173916225321591,-0.54494684,0.67,26.82,1014.39
"46","HAK201497002601","DeepFjord",2014-08-28 11:23:00,-127.56,51.521,2014,8,28,0.47431,"BC Inlets","DFO2","Rivers","Daylight",325,333,90.47,0.975975975975976,"Bongo VNH",0.5,250,32,2.49596895848818,0.884837940379185,0.720184407724738,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.33019622166951,5.67925088129199,1.16797537642015,0.48296996395737,39.533618927002,12.0353593826294,NA,NA,-0.54494684,0.67,26.82,1014.39
"47","HAK201497002701","DeepFjord",2014-09-12 10:54:00,-127.56,51.521,2014,9,12,0.45486,"BC Inlets","DFO2","Rivers","Daylight",320,333,96.95,0.960960960960961,"Bongo VNH",0.5,250,45,2.6666762494407,0.887656934607917,0.700528680072604,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.50180638357997,4.1288274486846,0.820892224289941,0.552086710605425,26.8345756530762,10.3877410888672,NA,NA,-0.77647484,1.08,27.01,1012.06
"48","HAK201497002801","DeepShelf",2014-09-15 10:54:00,-128.24,51.705,2014,9,15,0.45417,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,23.12,1,"Bongo VNH",0.5,250,28,1.87843698722863,0.718038502312163,0.563721998902721,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45980834960938,3.25004651101512,0.655990506808321,0.553771331785933,27.9371604919434,24.2704105377197,437.015197753906,0.000270705990260467,-0.77647484,1.08,27.01,1012.06
"49","HAK201497002901","DeepFjord",2014-09-17 10:50:00,-127.56,51.521,2014,9,17,0.45139,"BC Inlets","DFO2","Rivers","Daylight",320,333,85.35,0.960960960960961,"Bongo VNH",0.5,250,39,2.24011566888907,0.810441101934702,0.611458434514301,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.50180638357997,4.1288274486846,0.820892224289941,0.552086710605425,26.8345756530762,10.3877410888672,NA,NA,-0.77647484,1.08,27.01,1012.06
"50","HAK201498000101","DeepFjord",2014-04-18 11:33:00,-127.56,51.521,2014,4,18,0.48125,"BC Inlets","DFO2","Rivers","Daylight",328,333,62.35,0.984984984984985,"Bongo VNH",0.5,250,45,2.821697139417,0.909604678431693,0.741252251020357,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22550773620605,2.21900706633635,0.494660999122991,0.511839670746712,25.31667137146,23.0824680328369,NA,NA,-0.6174035,1.13,27.9,1010.81
"51","HAK201498000201","DeepFjord",2014-05-08 12:00:00,-127.56,51.521,2014,5,8,0.50069,"BC Inlets","DFO2","Rivers","Daylight",325,333,54.24,0.975975975975976,"Bongo VNH",0.5,250,47,2.61973753377706,0.885238983730091,0.680425221259958,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9036903381348,8.11072254180908,NA,NA,0.22783033,1.8,28.25,1017.44
"52","HAK201498000301","DeepFjord",2014-05-13 12:47:00,-127.56,51.521,2014,5,13,0.53322,"BC Inlets","DFO2","Rivers","Daylight",325,333,54.24,0.975975975975976,"Bongo VNH",0.5,250,41,2.58959589955161,0.883046999354242,0.69733287870452,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9036903381348,8.11072254180908,NA,NA,0.22783033,1.8,28.25,1017.44
"53","HAK201498000401","DeepFjord",2014-05-14 14:30:00,-127.9,51.639,2014,5,14,0.60462,"BC Inlets","FZH01","Fitz Hugh Sound","Daylight",290,290,48.4,1,"Bongo VNH",0.5,250,45,2.26810594350703,0.806580068120586,0.595825332453859,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.36004883050919,7.40641575243924,1.62837646146217,0.325256616607783,40.9255867004395,NA,NA,NA,0.22783033,1.8,28.25,1017.44
"54","HAK201498000501","DeepFjord",2014-05-28 16:05:00,-127.9,51.639,2014,5,28,0.67027,"BC Inlets","FZH01","Fitz Hugh Sound","Daylight",290,290,48.4,1,"Bongo VNH",0.5,250,48,2.62563193299991,0.862241615466141,0.678247377390548,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.36004883050919,7.40641575243924,1.62837646146217,0.325256616607783,40.9255867004395,NA,NA,NA,0.22783033,1.8,28.25,1017.44
"55","HAK201498000601","DeepFjord",2014-06-09 09:10:00,-127.9,51.639,2014,6,9,0.38212,"BC Inlets","FZH01","Fitz Hugh Sound","Daylight",290,290,48.4,1,"Bongo VNH",0.5,250,46,2.69693657777733,0.901312405757501,0.704410859750525,160,8.40343577490083,32.4427569173921,1025.08576175614,11,0.000280333684611926,293.279774483304,NA,NA,NA,5.16874480247498,3.84740032642114,0.765429997800459,0.555914478253376,41.5278205871582,NA,556.469665527344,0.000617997779045254,-0.41683559,0.82,27.96,1016.41
"56","HAK201498000701","DeepFjord",2014-06-19 08:48:00,-127.9,51.639,2014,6,19,0.36712,"BC Inlets","FZH01","Fitz Hugh Sound","Daylight",285,290,53.19,0.982758620689655,"Bongo VNH",0.5,250,48,2.31642763980384,0.823301856448911,0.598374414884899,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16874480247498,3.84740032642114,0.765429997800459,0.555914478253376,41.5278205871582,NA,556.469665527344,0.000617997779045254,-0.41683559,0.82,27.96,1016.41
"57","HAK201498000801","Nearshore",2014-07-11 14:58:00,-128.09,51.655,2014,7,11,0.62422,"BC Inlets","PRUTH","Calvert Island","Daylight",69,75,11.52,0.92,"Bongo VNH",0.5,250,44,2.54512751703872,0.869266332521401,0.672568703805528,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814561188220978,0.343665719713691,0.245422015864747,0.225473452642539,39.3783264160156,NA,651.39990234375,NA,-0.13326054,0.7,27.23,1016.73
